lemma,frequency,rank
εγώ,3336668,1
να,920648,2
είμαι,717139,3
ο,717133,4
σε,689314,5
και,557357,6
θα,523540,7
δεν,517805,8
αυτός,353525,9
ένας,316112,10
για,296294,11
έχω,273526,12
μου,262002,13
τι,243892,14
που,230700,15
κάνω,214499,16
λέγω,203078,17
ότι,175375,18
από,149119,19
μπορώ,147778,20
ξέρω,147232,21
αν,130117,22
ναι,113844,23
θέλω,113639,24
εδώ,108621,25
πρέπει,106038,26
δε,104718,27
είσαι,100466,28
όχι,99924,29
αλλά,94317,30
μην,92583,31
πολύ,90696,32
όλος,87413,33
γιατί,79639,34
τώρα,73893,35
πως,72007,36
βλέπω,69970,37
καλά,68913,38
κάτι,63897,39
άλλος,63894,40
καλός,62092,41
εντάξει,57477,42
πηγαίνω,52701,43
κάποιος,51864,44
γίνομαι,50394,45
έτσι,48513,46
σαν,46783,47
υπάρχω,46753,48
δίνω,44260,49
μόνο,43509,50
τίποτα,43273,51
βρίσκω,43192,52
πώς,43106,53
εκεί,42731,54
όταν,41919,55
ευχαριστώ,41501,56
μαζί,41303,57
κανένας,40865,58
έρχομαι,40410,59
παίνω,40367,60
κύριος,39629,61
μιλώ,37555,62
παιδί,36656,63
περνώ,36419,64
ακόμα,36238,65
ή,35335,66
πού,34975,67
παίρνω,34878,68
χρόνος,34608,69
χρειάζομαι,33747,70
ποτέ,33129,71
πιο,33064,72
μέσα,32294,73
τόσο,32055,74
πολύς,31680,75
σπίτι,30977,76
σκοτώνω,30908,77
νομίζω,30470,78
απλά,29794,79
δικός,29035,80
λίγο,28966,81
ποιος,28360,82
μεγάλος,28227,83
δουλειά,28021,84
αφήνω,27968,85
πριν,27857,86
πιστεύω,27815,87
φορά,27763,88
ακούω,27682,89
παρακαλώ,27656,90
πίσω,27047,91
μετά,26700,92
πάν,26537,93
ώρα,26413,94
καταλαβαίνω,26328,95
λοιπόν,25964,96
μέρα,25794,97
πράγμα,25767,98
ζωή,25744,99
τότε,25620,100
μένω,24953,101
εγώνος,24947,102
συμβαίνω,24826,103
γυναίκα,24799,104
ας,24627,105
άνθρωπος,24581,106
ίσως,23422,107
κάτω,23185,108
αλήθεια,23151,109
άντρας,22327,110
θέλεις,22039,111
όπως,22012,112
βοηθώ,20124,113
φίλος,19963,114
ωραία,19870,115
πεθαίνω,19849,116
προσπαθώ,19652,117
παίζω,19592,118
πάνω,19436,119
πατέρα,19383,120
φέρω,19294,121
φαίνομαι,19284,122
ίδιος,19240,123
ω,18967,124
ούτε,18826,125
νέος,18744,126
έξω,18725,127
περιμένω,18567,128
φύγω,18554,129
κοίτα,18545,130
σέγω,18411,131
έμω,18182,132
όμως,17728,133
μόνος,17681,134
πρώτος,17634,135
κόσμος,17349,136
πάρω,17190,137
αρίζω,16880,138
κάθε,16631,139
χωρίς,16273,140
θέτω,16239,141
εκείνος,16159,142
πρόβλημα,16144,143
μικρός,16129,144
εννοώ,15946,145
γυρίζω,15800,146
μαμά,15757,147
κακός,15753,148
λεπτό,15571,149
μπαμπά,15362,150
τέτοιος,15334,151
μέχρι,15209,152
ζητώ,15154,153
χέρι,15099,154
αρχίζω,14938,155
λόγος,14795,156
μέρος,14766,157
λεφτά,14615,158
σήμερα,14507,159
φεύγω,14289,160
σκέφτομαι,14189,161
προσέχω,14061,162
μόλις,13920,163
επειδή,13902,164
κρατώ,13839,165
μερικοί,13783,166
στιγμή,13683,167
ακριβώς,13643,168
πόσο,13636,169
φτάνω,13454,170
δουλεύω,13412,171
σωστά,13329,172
τύπος,13292,173
λάθος,13247,174
γνωρίζω,13127,175
θεός,13032,176
γρήγορα,13030,177
λυπούμαι,12984,178
κυρία,12947,179
χάνω,12823,180
όπλο,12698,181
καιρός,12624,182
ως,12365,183
πηραίνω,12314,184
τελειώνω,12306,185
συγγνώμη,12299,186
πιάνω,12279,187
όσο,12208,188
συγνώμη,11953,189
πάλι,11421,190
έτοιμος,11373,191
μάλλον,11299,192
τρόπος,11298,193
νεκρός,11292,194
δείχνω,11170,195
αλλάζω,11138,196
ιδέα,11133,197
μητέρα,11021,198
βάγω,10960,199
φυσικά,10813,200
χτυπώ,10672,201
κορίτσι,10516,202
έσω,10479,203
μωρός,10469,204
αργά,10331,205
δρόμος,10318,206
όνομα,10254,207
σίγουρα,10213,208
ανησυχώ,10133,209
ανοίγω,10040,210
φέγω,10036,211
πάρε,9999,212
θέση,9932,213
όλο,9859,214
προς,9818,215
αμάξι,9815,216
συνεχίζω,9813,217
σίγουρος,9756,218
νόμιζη,9739,219
πόλη,9734,220
όμορφος,9700,221
πια,9687,222
ρωτώ,9545,223
σημαίνω,9496,224
φοβούμαι,9496,225
αγάπη,9485,226
αύριο,9412,227
αμέσως,9400,228
μάτι,9378,229
καταφέρνω,9318,230
κλείνω,9294,231
χαρά,9284,232
αρκετά,9134,233
σταμάτα,9117,234
συγχωρώ,9056,235
στέλνω,9042,236
σταματώ,8884,237
πειράζω,8862,238
ιστορία,8826,239
απόψος,8826,240
χρησιμοποιώ,8789,241
πότε,8674,242
χαίρω,8582,243
ωραίος,8565,244
τίσ,8547,245
θυμάζω,8542,246
μάλιστα,8456,247
ελπίζω,8420,248
εαυτός,8359,249
τελευταία,8267,250
μήνας,8195,251
τέλειος,8170,252
βράδυ,8066,253
νόνω,8025,254
εκτός,7974,255
νιώνω,7972,256
πόρτα,7961,257
αγαπώ,7937,258
βέβαια,7923,259
ήδη,7827,260
βάζω,7804,261
βοήθεια,7794,262
μήπως,7774,263
τέλος,7754,264
πληρώνω,7749,265
τρελός,7749,266
δίκιο,7746,267
θέμα,7666,268
ομάδα,7594,269
λίγος,7558,270
πετώ,7555,271
πέφτω,7365,272
κοντά,7359,273
ορίζω,7351,274
δύσκολος,7313,275
αφού,7291,276
μακριά,7289,277
μπροστά,7245,278
ψάχνω,7228,279
κερδίζω,7227,280
νύχτα,7188,281
πόδι,7175,282
βγάζω,7152,283
πρόκειται,7141,284
διάολος,7000,285
αστυνομία,6990,286
παλιός,6967,287
πραγματικά,6942,288
νερό,6886,289
βγάλω,6881,290
γράφω,6879,291
αγόρι,6844,292
σχέση,6830,293
αρχή,6821,294
καθόλου,6813,295
δωμάτιο,6807,296
θάνατος,6705,297
κεφάλι,6685,298
φτιάζω,6652,299
επόμενος,6643,300
καλώ,6628,301
γαμώτος,6610,302
οικογένεια,6607,303
ελώ,6602,304
πρωί,6598,305
πόλεμος,6562,306
αθέτω,6560,307
γιατρός,6529,308
ψέμα,6519,309
οποίος,6510,310
ξεκινώ,6495,311
όσος,6495,312
κατά,6476,313
επιστρέφω,6396,314
τρέχω,6363,315
καμιός,6363,316
αλλιώς,6353,317
κοιτάζω,6353,318
δύναμη,6341,319
ακολουθώ,6293,320
ζω,6293,321
ξανά,6273,322
πέρα,6261,323
γραφείο,6260,324
καρδιός,6257,325
αίμα,6184,326
αγοράζω,6170,327
ρίχνω,6153,328
ηλίθιος,6141,329
