timestamp,count,surface_orig,surface_norm,stanza_lemma,stanza_upos,udpipe_lemma,udpipe_upos,decision,sentence
2026-02-26T10:45:07,4,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T10:45:07,4,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T10:45:07,4,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T10:45:07,4,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T11:28:18,6,έβρεχε,έβρεχε,βλέπω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Ο άνεμος ήταν δυνατός και έβρεχε πολύ.
2026-02-26T11:28:18,6,έβρεχε,έβρεχε,βλέπω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Ο άνεμος ήταν δυνατός και έβρεχε πολύ.
2026-02-26T11:28:18,6,έβρεχε,έβρεχε,βλέπω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Ο άνεμος ήταν δυνατός και έβρεχε πολύ.
2026-02-26T11:28:22,6,έβρεχε,έβρεχε,βλέπω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Ο άνεμος ήταν δυνατός και έβρεχε πολύ.
2026-02-26T11:28:22,6,έβρεχε,έβρεχε,βλέπω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Ο άνεμος ήταν δυνατός και έβρεχε πολύ.
2026-02-26T11:28:22,6,έβρεχε,έβρεχε,βλέπω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Ο άνεμος ήταν δυνατός και έβρεχε πολύ.
2026-02-26T11:28:27,3,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T11:28:27,26,είστε,είστε,είμαι,AUX,,,UDPIPE_ALIGN_MISS,Οι αρχές είπαν: πρέπει να είστε στο σπίτι.
2026-02-26T11:28:27,33,καλύτερος,καλύτερος,καλός,ADJ,καλύς,ADJ,UPOS_AGREE_SURFACE_SIMILAR,Σήμερα ο καιρός είναι καλύτερος.
2026-02-26T11:28:27,3,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T11:28:27,26,είστε,είστε,είμαι,AUX,,,UDPIPE_ALIGN_MISS,Οι αρχές είπαν: πρέπει να είστε στο σπίτι.
2026-02-26T11:28:27,33,καλύτερος,καλύτερος,καλός,ADJ,καλύς,ADJ,UPOS_AGREE_SURFACE_SIMILAR,Σήμερα ο καιρός είναι καλύτερος.
2026-02-26T11:28:27,3,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T11:28:27,26,είστε,είστε,είμαι,AUX,,,UDPIPE_ALIGN_MISS,Οι αρχές είπαν: πρέπει να είστε στο σπίτι.
2026-02-26T11:28:27,33,καλύτερος,καλύτερος,καλός,ADJ,καλύς,ADJ,UPOS_AGREE_SURFACE_SIMILAR,Σήμερα ο καιρός είναι καλύτερος.
2026-02-26T11:28:27,3,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T11:28:27,26,είστε,είστε,είμαι,AUX,,,UDPIPE_ALIGN_MISS,Οι αρχές είπαν: πρέπει να είστε στο σπίτι.
2026-02-26T11:28:27,33,καλύτερος,καλύτερος,καλός,ADJ,καλύς,ADJ,UPOS_AGREE_SURFACE_SIMILAR,Σήμερα ο καιρός είναι καλύτερος.
2026-02-26T11:28:27,3,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T11:28:27,26,είστε,είστε,είμαι,AUX,,,UDPIPE_ALIGN_MISS,Οι αρχές είπαν: πρέπει να είστε στο σπίτι.
2026-02-26T11:28:27,33,καλύτερος,καλύτερος,καλός,ADJ,καλύς,ADJ,UPOS_AGREE_SURFACE_SIMILAR,Σήμερα ο καιρός είναι καλύτερος.
2026-02-26T11:28:27,3,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T11:28:27,26,είστε,είστε,είμαι,AUX,,,UDPIPE_ALIGN_MISS,Οι αρχές είπαν: πρέπει να είστε στο σπίτι.
2026-02-26T11:28:27,33,καλύτερος,καλύτερος,καλός,ADJ,καλύς,ADJ,UPOS_AGREE_SURFACE_SIMILAR,Σήμερα ο καιρός είναι καλύτερος.
2026-02-26T11:28:27,3,Έβρεχε,έβρεχε,γρέχω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Έβρεχε πολύ.
2026-02-26T11:28:27,26,είστε,είστε,είμαι,AUX,,,UDPIPE_ALIGN_MISS,Οι αρχές είπαν: πρέπει να είστε στο σπίτι.
2026-02-26T11:28:27,33,καλύτερος,καλύτερος,καλός,ADJ,καλύς,ADJ,UPOS_AGREE_SURFACE_SIMILAR,Σήμερα ο καιρός είναι καλύτερος.
2026-02-26T11:28:33,29,είστε,είστε,είμαι,AUX,ώ,VERB,DISAGREE_SURFACE_SIMILAR,Οι αρχές είπαν: να είστε στο σπίτι σας.
2026-02-26T11:28:33,29,είστε,είστε,είμαι,AUX,ώ,VERB,DISAGREE_SURFACE_SIMILAR,Οι αρχές είπαν: να είστε στο σπίτι σας.
2026-02-26T11:28:33,29,είστε,είστε,είμαι,AUX,ώ,VERB,DISAGREE_SURFACE_SIMILAR,Οι αρχές είπαν: να είστε στο σπίτι σας.
2026-02-26T11:28:34,29,είστε,είστε,είμαι,AUX,ώ,VERB,DISAGREE_SURFACE_SIMILAR,Οι αρχές είπαν: να είστε στο σπίτι σας.
2026-02-26T11:28:37,27,είστε,είστε,είμαι,AUX,ώ,VERB,DISAGREE_SURFACE_SIMILAR,Οι αρχές είπαν: να είστε στο σπίτι σας.
2026-02-26T11:28:38,27,είστε,είστε,είμαι,AUX,ώ,VERB,DISAGREE_SURFACE_SIMILAR,Οι αρχές είπαν: να είστε στο σπίτι σας.
2026-02-26T11:28:38,27,είστε,είστε,είμαι,AUX,ώ,VERB,DISAGREE_SURFACE_SIMILAR,Οι αρχές είπαν: να είστε στο σπίτι σας.
2026-02-26T11:28:38,6,έβρεχε,έβρεχε,βλέπω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Ο άνεμος ήταν δυνατός και έβρεχε πολύ.
2026-02-26T11:28:38,6,έβρεχε,έβρεχε,βλέπω,VERB,έβρεχε,VERB,UPOS_AGREE_COHERENT_STANZA,Ο άνεμος ήταν δυνατός και έβρεχε πολύ.
