surface,lemma,upos
aθανασίου,aθανάσιος,PROPN
bενετοκρατίας,bενετοκρατίας,NOUN
kαζάρμα,kαζάρμα,NOUN
στο,σε,ADP
στον,σε,ADP
στη,σε,ADP
στην,σε,ADP
στα,σε,ADP
στους,σε,ADP
στις,σε,ADP
στου,σε,ADP
στης,σε,ADP
στων,σε,ADP
ρε,ρε,PART
o,ο,DET
άγγλοι,άγγλος,PROPN
άγγλους,άγγλος,PROPN
άγιο,άγιος,ADJ
άγιος,άγιος,ADJ
άγκυρα,άγκυρα,PROPN
άγκυρας,άγκυρα,PROPN
άγνωστα,άγνωστος,ADJ
άγνωστη,άγνωστος,ADJ
άγρια,άγρια,ADJ
άγρια,άγρια,ADV
άγριες,άγριος,ADJ
άγριος,άγριος,ADJ
άγριων,άγριος,ADJ
άδεια,άδεια,NOUN
άδειας,άδεια,NOUN
άδειες,άδεια,NOUN
άδης,άδης,PROPN
άδωνις,άδωνις,PROPN
άκαμπτο,άκαμπτος,ADJ
άκουσα,ακούω,VERB
άκρας,άκρος,ADJ
άκρη,άκρη,NOUN
άκρο,άκρο,NOUN
άλλα,άλλος,DET
άλλα,άλλος,PRON
άλλαξε,αλλάζω,VERB
άλλες,άλλος,DET
άλλες,άλλος,PRON
άλλη,άλλος,DET
άλλη,άλλος,PRON
άλλης,άλλος,DET
άλλης,άλλος,PRON
άλλο,άλλος,DET
άλλο,άλλος,PRON
άλλοθι,άλλοθι,NOUN
άλλοι,άλλος,DET
άλλοι,άλλος,PRON
άλλος,άλλος,DET
άλλοτε,άλλοτε,ADV
άλλου,άλλος,DET
άλλους,άλλος,DET
άλλους,άλλος,PRON
άλλων,άλλος,DET
άλλων,άλλος,PRON
άλλως,άλλως,ADV
άλλωστε,άλλωστε,ADV
άμαχοι,άμαχος,NOUN
άμεσα,άμεσα,ADV
άμεσες,άμεσος,ADJ
άμεση,άμεσος,ADJ
άμεσο,άμεσος,ADJ
άμμος,άμμος,NOUN
άμμος,άμμος,PROPN
άμμου,άμμος,NOUN
άμυνα,άμυνα,NOUN
